nombre,cod_prov,cod_depto,cod_loc,cod_bahra,tipo_bahra,lat,lon
CIUDAD DE BUENOS AIRES,02,000,010,02000010000,LC,-34.6132917290185,-58.3887517365082
CONSTITUCION,02,007,010,02001010001,E,-34.6250478642294,-58.384387226424
MONSERRAT,02,007,010,02001010002,E,-34.6126880821742,-58.379652044818
PUERTO MADERO,02,007,010,02001010003,E,-34.6092161933037,-58.3563809151849
RETIRO,02,007,010,02001010004,E,-34.5884243429366,-58.3759359131827
SAN NICOLAS,02,007,010,02001010005,E,-34.6036683192305,-58.3805143256131
SAN TELMO,02,007,010,02001010006,E,-34.6215200115838,-58.3715453876304
RECOLETA,02,014,010,02002010001,E,-34.5858760078165,-58.3949961802632
BALVANERA,02,021,010,02003010001,E,-34.6090997738407,-58.4030625195747
SAN CRISTOBAL,02,021,010,02003010002,E,-34.623864473461,-58.4018857979853
BARRACAS,02,028,010,02004010001,E,-34.6464135507847,-58.3842710319828
BOCA,02,028,010,02004010002,E,-34.6310700719721,-58.3568304109892
NUEVA POMPEYA,02,028,010,02004010003,E,-34.6505501963997,-58.4188550090093
PARQUE PATRICIOS,02,028,010,02004010004,E,-34.6375496406835,-58.4016756206755
ALMAGRO,02,035,010,02005010001,E,-34.6092276891202,-58.4217452253939
BOEDO,02,035,010,02005010002,E,-34.6299600080664,-58.4188403738383
CABALLITO,02,042,010,02006010001,E,-34.6168254996915,-58.443603110353
FLORES,02,049,010,02007010001,E,-34.6368070795903,-58.4582698515258
PARQUE CHACABUCO,02,049,010,02007010002,E,-34.6359392274734,-58.4376956019926
VILLA LUGANO,02,056,010,02008010001,E,-34.6749935792889,-58.4761629844706
VILLA RIACHUELO,02,056,010,02008010002,E,-34.6918955269685,-58.4632519393435
VILLA SOLDATI,02,056,010,02008010003,E,-34.6654688444976,-58.4465225253229
LINIERS,02,063,010,02009010001,E,-34.6437960835294,-58.5191298958228
MATADEROS,02,063,010,02009010002,E,-34.6583682885816,-58.5017319521437
PARQUE AVELLANEDA,02,063,010,02009010003,E,-34.64864128675,-58.47645640345
FLORESTA,02,070,010,02010010001,E,-34.6276862905939,-58.4835872783595
MONTE CASTRO,02,070,010,02010010002,E,-34.6192974826904,-58.5065803391285
VELEZ SARSFIELD,02,070,010,02010010003,E,-34.6313610222,-58.493276996941
VERSALLES,02,070,010,02010010004,E,-34.6301234618064,-58.5224017483433
VILLA LURO,02,070,010,02010010005,E,-34.6364127783977,-58.5027288050931
VILLA REAL,02,070,010,02010010006,E,-34.6194831337073,-58.5259860729102
VILLA DEL PARQUE,02,077,010,02011010001,E,-34.6042463004493,-58.4906764324396
VILLA DEVOTO,02,077,010,02011010002,E,-34.6023803136553,-58.5142437101484
VILLA GENERAL MITRE,02,077,010,02011010003,E,-34.6100289507588,-58.4689425541216
VILLA SANTA RITA,02,077,010,02011010004,E,-34.6161936201559,-58.4829573518477
COGHLAN,02,084,010,02012010001,E,-34.5606251344745,-58.4749447458843
SAAVEDRA,02,084,010,02012010002,E,-34.553063289604,-58.4887266668384
VILLA PUEYRREDON,02,084,010,02012010003,E,-34.5821104495703,-58.5034848793052
VILLA URQUIZA,02,084,010,02012010004,E,-34.5715411303449,-58.4878560596649
BELGRANO,02,091,010,02013010001,E,-34.5548815240237,-58.4502890947349
COLEGIALES,02,091,010,02013010002,E,-34.5746427442082,-58.4509682045183
NUÑEZ,02,091,010,02013010003,E,-34.5437376606688,-58.4628575470422
PALERMO,02,098,010,02014010001,E,-34.5738999836423,-58.4224364523189
AGRONOMIA,02,105,010,02015010001,E,-34.5929442472726,-58.4886714155361
CHACARITA,02,105,010,02015010002,E,-34.5883730730472,-58.4541748568778
PARQUE CHAS,02,105,010,02015010003,E,-34.5855218978064,-58.4791226108546
PATERNAL,02,105,010,02015010004,E,-34.5974220425569,-58.4686652940674
VILLA CRESPO,02,105,010,02015010005,E,-34.5988344062647,-58.4427221412974
VILLA ORTUZAR,02,105,010,02015010006,E,-34.5809741138535,-58.4676516664339
CARHUE,06,007,010,06007010000,LS,-37.1774801030509,-62.7578962604015
COLONIA SAN MIGUEL ARCANGEL,06,007,020,06007020000,LS,-37.4486186469627,-63.117609405389
DELFIN HUERGO,06,007,030,06007030000,LS,-37.3173292631958,-63.2331690622102
ESPARTILLAR,06,007,040,06007040000,LC,-37.3563345638716,-62.4387637810214
ESTEBAN AGUSTIN GASCON,06,007,050,06007050000,LS,-37.4544378016288,-63.2565950033782
LA PALA,06,007,060,06007060000,LS,-36.6613400852941,-63.3661281675236
MAZA,06,007,070,06007070000,LS,-36.7999468137731,-63.3385151506224
RIVERA,06,007,080,06007080000,LS,-37.1583546113813,-63.2442194943605
VILLA MARGARITA,06,007,100,06007100000,LS,-37.4600992847959,-63.2405658599852
YUTUYACO,06,007,110,06007110000,LS,-36.9884309445004,-63.133808887439
ADOLFO GONZALES CHAVES,06,014,010,06014010000,LS,-38.0333995087596,-60.1003341740637
DE LA GARMA,06,014,020,06014020000,LS,-37.9635021758562,-60.415659383962
JUAN E. BARRA,06,014,030,06014030000,LS,-37.8233871716044,-60.484639770555
VASQUEZ,06,014,040,06014040000,LS,-38.1766861391835,-60.1708487303777
ALBERTI,06,021,010,06021010000,LS,-35.0330734347841,-60.2806197287099
CORONEL SEGUI,06,021,020,06021020000,LS,-34.8681189984321,-60.3939708823404
MECHITA,06,021,030,06021030000,LC,-35.068013673391,-60.4025971632697
