id,subdivision category,3166-2 code,subdivision name,local variant,language code,romanization system,parent subdivision
66,province,AR-A,Salta,,es,,
06,province,AR-B,Buenos Aires,,es,,
02,city,AR-C,Ciudad Autónoma de Buenos Aires,,es,,
74,province,AR-D,San Luis,,es,,
30,province,AR-E,Entre Ríos,,es,,
46,province,AR-F,La Rioja,,es,,
86,province,AR-G,Santiago del Estero,,es,,
22,province,AR-H,Chaco,,es,,
70,province,AR-J,San Juan,,es,,
10,province,AR-K,Catamarca,,es,,
42,province,AR-L,La Pampa,,es,,
50,province,AR-M,Mendoza,,es,,
54,province,AR-N,Misiones,,es,,
34,province,AR-P,Formosa,,es,,
58,province,AR-Q,Neuquén,,es,,
62,province,AR-R,Río Negro,,es,,
82,province,AR-S,Santa Fe,,es,,
90,province,AR-T,Tucumán,,es,,
26,province,AR-U,Chubut,,es,,
94,province,AR-V,Tierra del Fuego,,es,,
18,province,AR-W,Corrientes,,es,,
14,province,AR-X,Córdoba,,es,,
38,province,AR-Y,Jujuy,,es,,
78,province,AR-Z,Santa Cruz,,es,,
